book	booknumber	startline	endline
GEN	1	1	1533
EXO	2	1534	2746
LEV	3	2747	3605
NUM	4	3606	4894
DEU	5	4895	5853
JOS	6	5854	6511
JDG	7	6512	7129
RUT	8	7130	7214
1SA	9	7215	8025
2SA	10	8026	8720
1KI	11	8721	9537
2KI	12	9538	10256
1CH	13	10257	11199
2CH	14	11200	12021
EZR	15	12022	12301
NEH	16	12302	12706
EST	17	12707	12873
JOB	18	12874	13943
PSA	19	13944	16470
PRO	20	16471	17385
ECC	21	17386	17607
SNG	22	17608	17724
ISA	23	17725	19015
JER	24	19016	20379
LAM	25	20380	20533
EZK	26	20534	21806
DAN	27	21807	22163
HOS	28	22164	22360
JOL	29	22361	22433
AMO	30	22434	22579
OBA	31	22580	22600
JON	32	22601	22648
MIC	33	22649	22753
NAM	34	22754	22800
HAB	35	22801	22856
ZEP	36	22857	22909
HAG	37	22910	22947
ZEC	38	22948	23158
MAL	39	23159	23213
MAT	40	23214	24284
MRK	41	24285	24962
LUK	42	24963	26113
JHN	43	26114	26992
ACT	44	26993	27998
ROM	45	27999	28431
1CO	46	28432	28868
2CO	47	28869	29124
GAL	48	29125	29273
EPH	49	29274	29428
PHP	50	29429	29532
COL	51	29533	29627
1TH	52	29628	29716
2TH	53	29717	29763
1TI	54	29764	29876
2TI	55	29877	29959
TIT	56	29960	30005
PHM	57	30006	30030
HEB	58	30031	30333
JAS	59	30334	30441
1PE	60	30442	30546
2PE	61	30547	30607
1JN	62	30608	30712
2JN	63	30713	30725
3JN	64	30726	30740
JUD	65	30741	30765
REV	66	30766	31170
TOB	67	31171	31418
JDT	68	31419	31758
ESG	69	31759	32025
WIS	70	32026	32460
SIR	71	32461	33861
BAR	72	33862	34002
LJE	73	34003	34074
S3Y	74	34075	34141
SUS	75	34142	34205
BEL	76	34206	34247
1MA	77	34248	35171
2MA	78	35172	35726
3MA	79	35727	35954
4MA	80	35955	36436
1ES	81	36437	36870
2ES	82	36871	37814
MAN	83	37815	37829
PS2	84	37830	37836
ODA	85	37837	38111
PSS	86	38112	38404
EZA	87	38405	39119
JUB	88	39120	40336
ENO	89	40337	41899
