Abyssinica SIL	fonts/Abyssinica_SIL/AbyssinicaSIL-Regular.ttf
Akshar Unicode	fonts/Akshar/static/Akshar-Regular.ttf
Amiri	fonts/Amiri/Amiri-Regular.ttf
Andika	fonts/Andika/Andika-Regular.ttf
Annapurna SIL	fonts/Annapurna_SIL/AnnapurnaSIL-Regular.ttf
Awami Nastaliq	fonts/Noto_Nastaliq_Urdu/static/NotoNastaliqUrdu-Regular.ttf
Bitstream Cyberbit	
DejaVu Sans	fonts/DejaVuSans.ttf
DejaVu Serif	fonts/DejaVuSerif.ttf
Estrangelo Edessa	
Ezra SIL	fonts/EzraSIL2.51/SILEOT.ttf
FreeSans	fonts/freefont-20120503/FreeSans.ttf
FreeSerif	fonts/freefont-20120503/FreeSerif.ttf
Gentium	
Gentium Plus	fonts/Gentium_Plus/GentiumPlus-Regular.ttf
Hanuman	fonts/Hanuman/static/Hanuman-Regular.ttf
Hoonani	
Liberation Sans	
Liberation Serif	
Manjari	fonts/Manjari/Manjari-Regular.ttf
Mukti	fonts/Mukti/mukti.otf
New Athena Unicode	fonts/NAU5_008/newathu5_8.ttf
Noto Sans Bengali	fonts/Noto_Sans_Bengali/static/NotoSansBengali-Regular.ttf
Noto Serif	fonts/Noto_Serif/static/NotoSerif-Regular.ttf
Noto Serif Thai	fonts/Noto_Serif_Thai/static/NotoSerifThai-Regular.ttf
Noto Serif Tibetan	fonts/Noto_Serif_Tibetan/static/NotoSerifTibetan-Regular.ttf
Padauk	fonts/Padauk/Padauk-Regular.ttf
Rekha	
Sazanami Mincho	
XB Niloofar	
