font	link	width
Abyssinica SIL	assets/fonts/Abyssinica_SIL/AbyssinicaSIL-Regular.ttf	0.650773
Akshar Unicode	assets/fonts/Akshar/static/Akshar-Regular.ttf	0.453254
Amiri	assets/fonts/Amiri/Amiri-Regular.ttf	0.443489
Andika	assets/fonts/Andika/Andika-Regular.ttf	0.530945
Annapurna SIL	assets/fonts/Annapurna_SIL/AnnapurnaSIL-Regular.ttf	0.537365
Awami Nastaliq	assets/fonts/Noto_Nastaliq_Urdu/static/NotoNastaliqUrdu-Regular.ttf	0.453035
Bitstream Cyberbit		
DejaVu Sans	assets/fonts/DejaVuSans.ttf	0.682989
DejaVu Serif	assets/fonts/DejaVuSerif.ttf	0.664685
Estrangelo Edessa		
Ezra SIL	assets/fonts/EzraSIL2.51/SILEOT.ttf	0.450326
FreeSans	assets/fonts/freefont-20120503/FreeSans.ttf	0.675934
FreeSerif	assets/fonts/freefont-20120503/FreeSerif.ttf	0.612866
Gentium		
Gentium Plus	assets/fonts/Gentium_Plus/GentiumPlus-Regular.ttf	0.480694
Hanuman	assets/fonts/Hanuman/static/Hanuman-Regular.ttf	0.479882
Hoonani		
Liberation Sans		
Liberation Serif		
Manjari	assets/fonts/Manjari/Manjari-Regular.ttf	0.877211
Mukti	assets/fonts/Mukti/mukti.otf	0.532463
New Athena Unicode	assets/fonts/NAU5_008/newathu5_8.ttf	0.586733
Noto Sans Bengali	assets/fonts/Noto_Sans_Bengali/static/NotoSansBengali-Regular.ttf	0.461737
Noto Serif	assets/fonts/Noto_Serif/static/NotoSerif-Regular.ttf	0.546644
Noto Serif Thai	assets/fonts/Noto_Serif_Thai/static/NotoSerifThai-Regular.ttf	0.506969
Noto Serif Tibetan	assets/fonts/Noto_Serif_Tibetan/static/NotoSerifTibetan-Regular.ttf	0.464305
Padauk	assets/fonts/Padauk/Padauk-Regular.ttf	0.479964
Rekha		
Sazanami Mincho		
XB Niloofar		
