RXMLlang,639-3,639-2/T,639-2/B,RXMLxl,useflag,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00,55.00,56.00,57.00,58.00,59.00,60.00,61.00,62.00,63.00,64.00,65.00,66.00
Aceh,ace,—,—,AcehBible.xml,1,Keujadian,Keuluaran,Imeum-Imeum,Teubileueng,Kitab Teu-Ulang,Yosua,Hakém-Hakém,Rut,1 Samuel,2 Samuel,1 Raja-Raja,2 Raja-Raja,1 Tawarikh,2 Tawarikh,Ezra,Nehemia,Ester,Ayub,Zabur,Amsal,Peungkhotbah,Seulaweut Agong,Nabi Yesaya,Nabi Yeremia,Peumo Ba-E,Yehezkiel,Daniel,Hosea,Yoël,Amos,Obaja,Yunus,Mikha,Nahum,Habakuk,Zefanya,Hagai,Zakharia,Maleakhi,Matius,Markus,Lukas,Yahya,Kisah Rasui-Rasui,Roma,1 Korintus,2 Korintus,Galatia,Efesus,Filipi,Kolose,1 Tesalonika,2 Tesalonika,1 Timotius,2 Timotius,Titus,Filemon,Ibrani,Yakobus,1 Petrus,2 Petrus,1 Yahya,2 Yahya,3 Yahya,Yudas,Wahyu
Adilabad Gondi,gno,—,—,AdilabadGondiBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,మత్తయి,మార్క్,లూక,యోహన్,అపొ. కా.,రోమ,1వ కొరంతి,2వ కొరంతి,గలతి,ఎపెసి,పిలిపి,కొలసి,1వ తెసలొనిక,2వ తెసలొనిక,1వ తిమొతి,2వ తిమొతి,తీతు,పిలెమోన్,హెబ్రి,యాకొబ్,1వ పేతురు,2వ పేతురు,1వ యోహన్,2వ యోహన్,3వ యోహన్,యూద,ఉజగిరి అరుస్వల్
Afrikaans  1983,afr,afr,afr,Afrikaans1983Bible.xml,1,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Afrikaans  2020,afr,afr,afr,Afrikaans2020Bible.xml,0.00,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Afrikaans  2023,afr,afr,afr,Afrikaans2023Bible.xml,0.00,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Afrikaans ABA,afr,afr,afr,AfrikaansABABible.xml,0.00,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Afrikaans,afr,afr,afr,AfrikaansBible.xml,0.00,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Afrikaans DB,afr,afr,afr,AfrikaansDBBible.xml,0.00,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Afrikaans NLV,afr,afr,afr,AfrikaansNLVBible.xml,0.00,Genesis,Eksodus,Levitikus,Numeri,Deuteronomium,Josua,Rigters,Rut,1 Samuel,2 Samuel,1 Konings,2 Konings,1 Kronieke,2 Kronieke,Esra,Nehemia,Ester,Job,Psalms,Spreuke,Prediker,Hooglied,Jesaja,Jeremia,Klaagliedere,Esegiël,Daniël,Hosea,Joël,Amos,Obadja,Jona,Miga,Nahum,Habakuk,Sefanja,Haggai,Sagaria,Maleagi,Matteus,Markus,Lukas,Johannes,Handelinge,Romeine,1 Korintiërs,2 Korintiërs,Galasiërs,Efesiërs,Filippense,Kolossense,1 Tessalonisense,2 Tessalonisense,1 Timoteus,2 Timoteus,Titus,Filemon,Hebreërs,Jakobus,1 Petrus,2 Petrus,1 Johannes,2 Johannes,3 Johannes,Judas,Openbaring
Ahirani,ahr,—,—,AhiraniBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,मत्तय,मार्क,लूक,योहान,प्रेषितस्ना काम,रोमकरांस पत्र,1 करिंथकरांस पत्र,2 करिंथकरांस पत्र,गलतीकरांस पत्र,इफिसकरांस पत्र,फिलिप्पैकरांस पत्र,कलस्सैकरांस पत्र,1 थेस्सलनीकरांस पत्र,2 थेस्सलनीकरांस पत्र,1 तिमथ्य,2 तिमथ्य,तीत,फिलेमोन,इब्रानी,याकोब,1 पेत्र,2 पेत्र,1 योहान,2 योहान,3 योहान,यहूदा,प्रकटीकरण
